model,heads,data,epoch,transformer,max_len,batch_size,lr,dropout,encoder-feature-layers,decoder-feature-layers,accuracy_train,f1_train,recall_train,precision_train,f1_weighted_train,recall_weighted_train,precision_weighted_train,loss_train,accuracy_val,me_accuracy_val,f1_val,me_f1_val,recall_val,me_recall_val,precision_val,me_precision_val,f1_weighted_val,me_f1_weighted_val,recall_weighted_val,me_recall_weighted_val,precision_weighted_val,me_precision_weighted_val,loss_val
MTL2,DETOXIS-EXIST,DETOXIS,1,dccuchile/bert-base-spanish-wwm-cased,128,64,5e-05,0.3,1,0,0.7358984375,0.6323721556401379,0.6260564936278548,0.713122782300356,0.7030924670954739,0.7358984375,0.7249976638413645,0.5330096450634301,0.7697230765956089,0.0125,0.7294045606886196,0.0132,0.7286469183508799,0.0132,0.7414405995775597,0.013,0.7667880875069495,0.0126,0.7697230765956089,0.0125,0.7725077683358897,0.0125,0.5034585701567786
MTL2,DETOXIS-EXIST,EXIST,1,dccuchile/bert-base-spanish-wwm-cased,128,64,5e-05,0.3,1,0,0.682109375,0.6818093038149986,0.6820028693535616,0.6826552829900031,0.6818472341046309,0.682109375,0.6826243067945377,0.5783448008075357,0.7859602056785155,0.0107,0.7849042027788522,0.0107,0.7858031550732171,0.0107,0.791128744579662,0.0106,0.7849435902265899,0.0107,0.7859602056785155,0.0107,0.7910447396978506,0.0106,0.4759867944887707
MTL2,DETOXIS-EXIST,DETOXIS,2,dccuchile/bert-base-spanish-wwm-cased,128,64,5e-05,0.3,1,0,0.8652929687499998,0.8395133885743652,0.8293354402277677,0.853381480764319,0.862874109481039,0.8652929687499998,0.8632743164017084,0.3223322888324037,0.7796362320537245,0.0123,0.741979175356359,0.013,0.7397466943407699,0.0131,0.7508534694649439,0.0129,0.7774615501383968,0.0124,0.7796362320537245,0.0123,0.7805098830901047,0.0123,0.6254501323614802
MTL2,DETOXIS-EXIST,EXIST,2,dccuchile/bert-base-spanish-wwm-cased,128,64,5e-05,0.3,1,0,0.8413867187499999,0.8413396010615513,0.8413238801459071,0.841610777246812,0.8413530664734867,0.8413867187499999,0.8415748277789744,0.37702144514769315,0.7854366942395111,0.0107,0.7839168394520225,0.0107,0.785213365353904,0.0107,0.7926475469340231,0.0106,0.7839715617449482,0.0107,0.7854366942395111,0.0107,0.7925252107127511,0.0106,0.48858193840299335
MTL2,DETOXIS-EXIST,DETOXIS,3,dccuchile/bert-base-spanish-wwm-cased,128,64,5e-05,0.3,1,0,0.9526757812500002,0.9449461859148774,0.9418505208418655,0.9482636940571906,0.9524974597197081,0.9526757812500002,0.9524880222489122,0.13042346146015912,0.7840284799012356,0.0123,0.739898966306318,0.0131,0.7327694881381228,0.0132,0.758374947582829,0.0127,0.7785455727186054,0.0124,0.7840284799012356,0.0123,0.7816447919670005,0.0123,0.7918036652462823
MTL2,DETOXIS-EXIST,EXIST,3,dccuchile/bert-base-spanish-wwm-cased,128,64,5e-05,0.3,1,0,0.9226171874999999,0.9226070461215834,0.9225853089886538,0.9227110156836476,0.9226113633924701,0.9226171874999999,0.9226877618050319,0.2119537129905075,0.7861371935315596,0.0107,0.7852185525004505,0.0107,0.7860694502088246,0.0107,0.7906529045079493,0.0106,0.7852371539961643,0.0107,0.7861371935315596,0.0107,0.7906213851591251,0.0106,0.5888851587261473
MTL2,DETOXIS-EXIST,DETOXIS,4,dccuchile/bert-base-spanish-wwm-cased,128,64,5e-05,0.3,1,0,0.9877343749999999,0.9858282438734047,0.9852416103933741,0.9864255340027345,0.9877267423069871,0.9877343749999999,0.9877272953785772,0.03901095174456714,0.7810336203318398,0.0123,0.7314606975347665,0.0132,0.7223772675229705,0.0133,0.7576091090246777,0.0128,0.7730851361922094,0.0125,0.7810336203318398,0.0123,0.7778792229743755,0.0124,0.9743594263281142
MTL2,DETOXIS-EXIST,EXIST,4,dccuchile/bert-base-spanish-wwm-cased,128,64,5e-05,0.3,1,0,0.9679687499999998,0.9679675051461107,0.9679607765115914,0.9679811509453653,0.9679684072923104,0.9679687499999998,0.9679749812591936,0.09619187242875343,0.7831436147750701,0.0107,0.7822054068267492,0.0107,0.7831091929155035,0.0107,0.7875162683143007,0.0106,0.7822186997001507,0.0107,0.7831436147750701,0.0107,0.787506490200387,0.0106,0.7593310773372649
MTL2,DETOXIS-EXIST,DETOXIS,5,dccuchile/bert-base-spanish-wwm-cased,128,64,5e-05,0.3,1,0,0.9933007812500001,0.9922737563773663,0.9921053499547122,0.9924447815708447,0.993299427190778,0.9933007812500001,0.9933000750225064,0.02173337941945647,0.7861075339768628,0.0122,0.7466715743902712,0.0129,0.7410301544773988,0.013,0.7575214230860021,0.0128,0.7828624434703678,0.0123,0.7861075339768628,0.0122,0.7836027064722876,0.0123,1.0242109962872097
MTL2,DETOXIS-EXIST,EXIST,5,dccuchile/bert-base-spanish-wwm-cased,128,64,5e-05,0.3,1,0,0.9844335937500001,0.9844332962004959,0.9844344891208419,0.9844332232425608,0.9844336034364394,0.9844335937500001,0.9844347330377335,0.04847863801056519,0.7866662940606604,0.0107,0.785419304541811,0.0107,0.7864077355247706,0.0107,0.7924706633096952,0.0106,0.7854802990638315,0.0107,0.7866662940606604,0.0107,0.7923275187796914,0.0106,0.8966006798403605
